ticker,name,industry
MGAM,MORGAN ADVANCED MATERIALS PLC,Industrial Goods and Services
MGGT,MEGGITT PLC,Industrial Goods and Services
MGNS,MORGAN SINDALL GROUP PLC,Construction and Materials
MKS,MARKS AND SPENCER GROUP PLC,Retail 
MNKS,MONKS INVESTMENT TRUST PLC,Financial Services 
MONY,MONEYSUPERMARKET.COM GROUP PLC,Technology
MOON,MOONPIG GROUP PLC,Retail 
MRC,MERCANTILE INVESTMENT TRUST (THE) PLC,Financial Services 
MRW,MORRISON (WM) SUPERMARKETS PLC,"Personal Care, Drug and Grocery Stores "
MSLH,MARSHALLS PLC,Construction and Materials
MTO,MITIE GROUP PLC,Industrial Goods and Services
MUT,MURRAY INCOME TRUST PLC,Financial Services 
MYI,MURRAY INTERNATIONAL TRUST PLC,Financial Services 
N91,NINETY ONE PLC,Financial Services 
NCC,NCC GROUP PLC,Technology
NETW,NETWORK INTERNATIONAL HOLDINGS PLC,Industrial Goods and Services
NEX,NATIONAL EXPRESS GROUP PLC,Travel and Leisure
OSB,OSB GROUP PLC,Financial Services 
OXB,OXFORD BIOMEDICA PLC,Health Care  
OXIG,OXFORD INSTRUMENTS PLC,Industrial Goods and Services
PAG,PARAGON BANKING GROUP PLC,Financial Services 
PAGE,PAGEGROUP PLC,Industrial Goods and Services
PCT,POLAR CAPITAL TECHNOLOGY TRUST PLC,Financial Services 
PETS,PETS AT HOME GROUP PLC,Retail 
PFD,PREMIER FOODS PLC,"Food, Beverage and Tobacco "
PHP,PRIMARY HEALTH PROPERTIES PLC,Real Estate 
PIN,PANTHEON INTERNATIONAL PLC,Financial Services 
PLUS,PLUS500 LTD,Financial Services 
PNL,PERSONAL ASSETS TRUST PLC,Financial Services 
PNN,PENNON GROUP PLC,Utilities
POG,PETROPAVLOVSK PLC,Basic Resources
PRTC,PURETECH HEALTH PLC,Health Care  
PTEC,PLAYTECH PLC,Travel and Leisure
PZC,PZ CUSSONS PLC,"Personal Care, Drug and Grocery Stores "
QLT,QUILTER PLC,Financial Services 
QQ,QINETIQ GROUP PLC,Industrial Goods and Services
RAT,RATHBONE BROTHERS PLC,Financial Services 
RCH,REACH PLC,Media
RCP,RIT CAPITAL PARTNERS PLC,Financial Services 
RDW,REDROW PLC,Consumer Products and Services
REDD,REDDE NORTHGATE PLC,Industrial Goods and Services
RHIM,RHI MAGNESITA N.V.,Chemicals
RNK,RANK GROUP PLC,Travel and Leisure
ROR,ROTORK PLC,Industrial Goods and Services
RSW,RENISHAW PLC,Industrial Goods and Services
RTN,RESTAURANT GROUP PLC,Travel and Leisure
SAFE,SAFESTORE HOLDINGS PLC,Real Estate 
SAIN,SCOTTISH AMERICAN INVESTMENT CO. PLC,Financial Services 
SCT,SOFTCAT PLC,Technology
SDP,SCHRODER ASIAPACIFIC FUND PLC,Financial Services 
SEQI,SEQUOIA ECONOMIC INFRASTRUCTURE INCOME FUND LIMITED,Financial Services 
SHB,SHAFTESBURY PLC,Real Estate 
SMWH,WH SMITH PLC,Retail 
SNN,SANNE GROUP PLC,Financial Services 
SOI,SCHRODER ORIENTAL INCOME FUND LIMITED,Financial Services 
SONG,HIPGNOSIS SONGS FUND LIMITED,Financial Services 
SPI,SPIRE HEALTHCARE GROUP PLC,Health Care  
SPT,SPIRENT COMMUNICATIONS PLC,Telecommunications
SRE,SIRIUS REAL ESTATE LD,Real Estate 
SRP,SERCO GROUP PLC,Industrial Goods and Services
SSON,SMITHSON INVESTMENT TRUST PLC,Financial Services 
SSPG,SSP GROUP PLC,Travel and Leisure
SVS,SAVILLS PLC,Real Estate 
SXS,SPECTRIS PLC,Industrial Goods and Services
SYNC,SYNCONA LIMITED,Financial Services 
SYNT,SYNTHOMER PLC,Chemicals
TATE,TATE & LYLE PLC,"Food, Beverage and Tobacco "
TCAP,TP ICAP GROUP PLC,Financial Services 
TEM,TEMPLETON EMERGING MARKETS INVESTMENT TRUST PLC,Financial Services 
TEP,TELECOM PLUS PLC,Telecommunications
TIFS,TI FLUID SYSTEMS PLC,Automobiles and Parts
TLW,TULLOW OIL PLC,Energy
TMPL,TEMPLE BAR INVESTMENT TRUST PLC,Financial Services 
TPK,TRAVIS PERKINS PLC,Retail 
TRIG,THE RENEWABLES INFRASTRUCTURE GROUP LIMITED,Financial Services 
TRN,TRAINLINE PLC,Travel and Leisure
TRST,TRUSTPILOT GROUP PLC,Technology
TRY,TR PROPERTY INVESTMENT TRUST PLC,Financial Services 
TUI,TUI AG,Travel and Leisure
TYMN,TYMAN PLC,Construction and Materials
UKCM,UK COMMERCIAL PROPERTY REIT LIMITED,Real Estate 
UKW,GREENCOAT UK WIND PLC,Financial Services 
ULE,ULTRA ELECTRONICS HOLDINGS PLC,Industrial Goods and Services
USA,BAILLIE GIFFORD US GROWTH TRUST PLC,Financial Services 
UTG,UNITE GROUP PLC,Real Estate 
VCT,VICTREX PLC,Chemicals
VEC,VECTURA GROUP PLC,Health Care  
VEIL,VIETNAM ENTERPRISE INVESTMENTS LIMITED,Financial Services 
VMUK,VIRGIN MONEY UK PLC,Banks
VOF,VINACAPITAL VIETNAM OPPORTUNITY FUND LD,Financial Services 
VSVS,VESUVIUS PLC,Industrial Goods and Services
VTY,VISTRY GROUP PLC,Consumer Products and Services
VVO,VIVO ENERGY PLC,Retail 
WG,WOOD GROUP (JOHN) PLC,Energy
WIX,WICKES GROUP PLC,Retail 
WIZZ,WIZZ AIR HOLDINGS PLC,Travel and Leisure
WKP,WORKSPACE GROUP PLC,Real Estate 
WOSG,WATCHES OF SWITZERLAND GROUP PLC,Consumer Products and Services
WTAN,WITAN INVESTMENT TRUST PLC,Financial Services 
WWH,WORLDWIDE HEALTHCARE TRUST PLC,Financial Services 
XPP,XP POWER LIMITED,Industrial Goods and Services
